,compound_id,target_id,standard_type,standard_relation,standard_value,standard_units
3373,CHEMBL553,Q9UQB9,KD,>,10000.0,NM
3374,CHEMBL553,Q9UQB9,KD,=,600.0,NM
3375,CHEMBL553,Q9UQ88,KD,>,10000.0,NM
3376,CHEMBL553,Q9UQ88,KD,>,10000.0,NM
3377,CHEMBL553,Q9UPZ9,KD,>,10000.0,NM
3378,CHEMBL553,Q9UPE1,KD,=,8300.0,NM
3381,CHEMBL553,Q9UM73,KD,=,1200.0,NM
3384,CHEMBL553,Q9UM73,KD,=,1200.0,NM
3386,CHEMBL553,Q9UL54,KD,>,10000.0,NM
3388,CHEMBL553,Q9UKI8,KD,>,10000.0,NM
3389,CHEMBL553,Q9UKI8,KD,>,10000.0,NM
3390,CHEMBL553,Q9UKE5,KD,=,4500.0,NM
3391,CHEMBL553,Q9UKE5,KD,>,10000.0,NM
3393,CHEMBL553,Q9UKE5,KD,>,10000.0,NM
3395,CHEMBL553,Q9UK32,KD,>,10000.0,NM
3396,CHEMBL553,Q9UK32,KD,>,10000.0,NM
3397,CHEMBL553,Q9UK32,KD,>,10000.0,NM
3398,CHEMBL553,Q9UK32,KD,>,10000.0,NM
3399,CHEMBL553,Q9UIK4,KD,>,10000.0,NM
3401,CHEMBL553,Q9UIK4,KD,>,10000.0,NM
3402,CHEMBL553,Q9UIK4,KD,>,10000.0,NM
3403,CHEMBL553,Q9UHD2,KD,=,3100.0,NM
3408,CHEMBL553,Q9UF33,KD,=,440.0,NM
3410,CHEMBL553,Q9UF33,KD,=,930.0,NM
3411,CHEMBL553,Q9UF33,KD,=,930.0,NM
3412,CHEMBL553,Q9UF33,KD,=,440.0,NM
3413,CHEMBL553,Q9UEW8,KD,>,10000.0,NM
3415,CHEMBL553,Q9UEE5,KD,=,6300.0,NM
3418,CHEMBL553,Q9UEE5,KD,>,10000.0,NM
3420,CHEMBL553,Q9UEE5,KD,>,10000.0,NM
3424,CHEMBL553,Q9UBF8,KD,>,10000.0,NM
3425,CHEMBL553,Q9UBE8,KD,>,10000.0,NM
3427,CHEMBL553,Q9UBE8,KD,>,10000.0,NM
3428,CHEMBL553,Q9P2K8,KD,=,4400.0,NM
3429,CHEMBL553,Q9P2K8,KD,=,4400.0,NM
3430,CHEMBL553,Q9P289,KD,>,10000.0,NM
3434,CHEMBL553,Q9P289,KD,>,10000.0,NM
3435,CHEMBL553,Q9P286,KD,>,10000.0,NM
3437,CHEMBL553,Q9P286,KD,>,10000.0,NM
3439,CHEMBL553,Q9P286,KD,>,10000.0,NM
3440,CHEMBL553,Q9P1W9,KD,>,10000.0,NM
3443,CHEMBL553,Q9P1W9,KD,>,10000.0,NM
3445,CHEMBL553,Q9P1W9,KD,>,10000.0,NM
3448,CHEMBL553,Q9P0L2,KD,>,10000.0,NM
3450,CHEMBL553,Q9P0L2,KD,>,10000.0,NM
3451,CHEMBL553,Q9NYY3,KD,>,10000.0,NM
3453,CHEMBL553,Q9NYL2,KD,>,10000.0,NM
3456,CHEMBL553,Q9NYL2,KD,>,10000.0,NM
3458,CHEMBL553,Q9NY57,KD,>,10000.0,NM
3459,CHEMBL553,Q9NY57,KD,>,10000.0,NM
3460,CHEMBL553,Q9NWZ3,KD,>,10000.0,NM
3464,CHEMBL553,Q9NSY1,KD,=,1200.0,NM
3465,CHEMBL553,Q9NSY1,KD,=,1800.0,NM
3466,CHEMBL553,Q9NSY1,KD,=,1200.0,NM
3468,CHEMBL553,Q9NRP7,KD,=,4400.0,NM
3469,CHEMBL553,Q9NRP7,KD,>,10000.0,NM
3470,CHEMBL553,Q9NRP7,KD,>,10000.0,NM
3471,CHEMBL553,Q9NRM7,KD,>,10000.0,NM
3472,CHEMBL553,Q9NRM7,KD,>,10000.0,NM
3473,CHEMBL553,Q9NRH2,KD,>,10000.0,NM
3477,CHEMBL553,Q9NQU5,KD,>,10000.0,NM
3479,CHEMBL553,Q9NQU5,KD,>,10000.0,NM
3481,CHEMBL553,Q9NQU5,KD,>,10000.0,NM
3485,CHEMBL553,Q9JI10,KD,>,10000.0,NM
3486,CHEMBL553,Q9HCP0,KD,>,10000.0,NM
3488,CHEMBL553,Q9HCP0,KD,>,10000.0,NM
3490,CHEMBL553,Q9HCP0,KD,>,10000.0,NM
3492,CHEMBL553,Q9HC98,KD,>,10000.0,NM
3494,CHEMBL553,Q9HC98,KD,>,10000.0,NM
3496,CHEMBL553,Q9HC98,KD,>,10000.0,NM
3499,CHEMBL553,Q9HBH9,KD,=,1000.0,NM
3502,CHEMBL553,Q9HBH9,KD,=,1600.0,NM
3503,CHEMBL553,Q9HBH9,KD,>,10000.0,NM
3505,CHEMBL553,Q9HAZ1,KD,>,10000.0,NM
3508,CHEMBL553,Q9HAZ1,KD,>,10000.0,NM
3509,CHEMBL553,Q9HAZ1,KD,>,10000.0,NM
3512,CHEMBL553,Q9H4B4,KD,>,10000.0,NM
3515,CHEMBL553,Q9H4B4,KD,>,10000.0,NM
3517,CHEMBL553,Q9H422,KD,>,10000.0,NM
3519,CHEMBL553,Q9H3Y6,KD,>,10000.0,NM
3522,CHEMBL553,Q9H3Y6,KD,>,10000.0,NM
3524,CHEMBL553,Q9H2X6,KD,>,10000.0,NM
3528,CHEMBL553,Q9H2K8,KD,>,10000.0,NM
3530,CHEMBL553,Q9H2G2,KD,=,26.0,NM
3533,CHEMBL553,Q9H2G2,KD,=,110.0,NM
3535,CHEMBL553,Q9H2G2,KD,=,26.0,NM
3539,CHEMBL553,Q9H1R3,KD,=,970.0,NM
3541,CHEMBL553,Q9H1R3,KD,>,10000.0,NM
3542,CHEMBL553,Q9H1R3,KD,=,970.0,NM
3543,CHEMBL553,Q9H0K1,KD,=,2600.0,NM
3545,CHEMBL553,Q9H0K1,KD,>,10000.0,NM
3546,CHEMBL553,Q9H093,KD,>,10000.0,NM
3548,CHEMBL553,Q9H093,KD,>,10000.0,NM
3549,CHEMBL553,Q9C098,KD,>,10000.0,NM
3550,CHEMBL553,Q9C098,KD,>,10000.0,NM
3551,CHEMBL553,Q9BZL6,KD,>,10000.0,NM
3554,CHEMBL553,Q9BZL6,KD,>,10000.0,NM
3556,CHEMBL553,Q9BYT3,KD,>,10000.0,NM
3558,CHEMBL553,Q9BYT3,KD,>,10000.0,NM
3561,CHEMBL553,Q9BXA7,KD,>,10000.0,NM
3564,CHEMBL553,Q9BXA7,KD,>,10000.0,NM
3566,CHEMBL553,Q9BX84,KD,>,10000.0,NM
3567,CHEMBL553,Q9BWU1,KD,>,10000.0,NM
3569,CHEMBL553,Q9BWU1,KD,>,10000.0,NM
3571,CHEMBL553,Q9BVS4,KD,>,10000.0,NM
3574,CHEMBL553,Q9BUB5,KD,=,690.0,NM
3575,CHEMBL553,Q9BUB5,KD,=,690.0,NM
3576,CHEMBL553,Q9BRS2,KD,>,10000.0,NM
3577,CHEMBL553,Q9BRS2,KD,>,10000.0,NM
3578,CHEMBL553,Q9BQI3,KD,>,10000.0,NM
3581,CHEMBL553,Q99759,KD,=,2300.0,NM
3583,CHEMBL553,Q99755,KD,>,10000.0,NM
3584,CHEMBL553,Q99755,KD,>,10000.0,NM
3585,CHEMBL553,Q99683,KD,>,10000.0,NM
3587,CHEMBL553,Q99683,KD,>,10000.0,NM
3589,CHEMBL553,Q99683,KD,>,10000.0,NM
3590,CHEMBL553,Q99640,KD,>,10000.0,NM
3591,CHEMBL553,Q99640,KD,>,10000.0,NM
3592,CHEMBL553,Q99640,KD,>,10000.0,NM
3593,CHEMBL553,Q96SB4,KD,>,10000.0,NM
3596,CHEMBL553,Q96SB4,KD,>,10000.0,NM
3598,CHEMBL553,Q96RR4,KD,>,10000.0,NM
3600,CHEMBL553,Q96RR4,KD,>,10000.0,NM
3602,CHEMBL553,Q96RR4,KD,>,10000.0,NM
3606,CHEMBL553,Q96Q40,KD,>,10000.0,NM
3607,CHEMBL553,Q96PY6,KD,>,10000.0,NM
3609,CHEMBL553,Q96PY6,KD,>,10000.0,NM
3615,CHEMBL553,Q96NX5,KD,>,10000.0,NM
3617,CHEMBL553,Q96NX5,KD,>,10000.0,NM
3619,CHEMBL553,Q96NX5,KD,>,10000.0,NM
3620,CHEMBL553,Q96L34,KD,>,10000.0,NM
3622,CHEMBL553,Q96L34,KD,>,10000.0,NM
3628,CHEMBL553,Q96GD4,KD,=,1400.0,NM
3630,CHEMBL553,Q96GD4,KD,=,1400.0,NM
3635,CHEMBL553,Q96D53,KD,=,2500.0,NM
3636,CHEMBL553,Q96D53,KD,=,2500.0,NM
3637,CHEMBL553,Q96BR1,KD,>,10000.0,NM
3639,CHEMBL553,Q92918,KD,>,10000.0,NM
3640,CHEMBL553,Q92918,KD,>,10000.0,NM
3643,CHEMBL553,Q92772,KD,>,10000.0,NM
3644,CHEMBL553,Q92630,KD,=,1300.0,NM
3647,CHEMBL553,Q8WXR4,KD,>,10000.0,NM
3648,CHEMBL553,Q8WXR4,KD,>,10000.0,NM
3649,CHEMBL553,Q8WU08,KD,>,10000.0,NM
3650,CHEMBL553,Q8WTQ7,KD,>,10000.0,NM
3652,CHEMBL553,Q8TDX7,KD,>,10000.0,NM
3654,CHEMBL553,Q8TDX7,KD,>,10000.0,NM
3655,CHEMBL553,Q8TDR2,KD,>,10000.0,NM
3656,CHEMBL553,Q8TDC3,KD,>,10000.0,NM
3659,CHEMBL553,Q8TDC3,KD,>,10000.0,NM
3661,CHEMBL553,Q8TD19,KD,>,10000.0,NM
3663,CHEMBL553,Q8TD19,KD,>,10000.0,NM
3664,CHEMBL553,Q8TD19,KD,>,10000.0,NM
3665,CHEMBL553,Q8TD08,KD,>,10000.0,NM
3666,CHEMBL553,Q8TD08,KD,>,10000.0,NM
3667,CHEMBL553,Q8TBX8,KD,=,1000.0,NM
3668,CHEMBL553,Q8NI60,KD,=,1900.0,NM
3669,CHEMBL553,Q8NI60,KD,=,1900.0,NM
3670,CHEMBL553,Q8NG66,KD,>,10000.0,NM
3672,CHEMBL553,Q8NFD2,KD,>,10000.0,NM
3673,CHEMBL553,Q8NFD2,KD,>,10000.0,NM
3674,CHEMBL553,Q8NEV4,KD,>,10000.0,NM
3675,CHEMBL553,Q8NEV4,KD,>,10000.0,NM
3676,CHEMBL553,Q8NE63,KD,=,960.0,NM
3680,CHEMBL553,Q8N752,KD,>,10000.0,NM
3681,CHEMBL553,Q8N752,KD,>,10000.0,NM
3682,CHEMBL553,Q8N5S9,KD,>,10000.0,NM
3684,CHEMBL553,Q8N5S9,KD,>,10000.0,NM
3685,CHEMBL553,Q8N5S9,KD,>,10000.0,NM
3686,CHEMBL553,Q8N568,KD,>,10000.0,NM
3688,CHEMBL553,Q8N568,KD,>,10000.0,NM
3689,CHEMBL553,Q8N4C8,KD,=,1300.0,NM
3693,CHEMBL553,Q8IYT8,KD,>,10000.0,NM
3695,CHEMBL553,Q8IY84,KD,>,10000.0,NM
3696,CHEMBL553,Q8IWQ3,KD,>,10000.0,NM
3698,CHEMBL553,Q8IWQ3,KD,>,10000.0,NM
3699,CHEMBL553,Q8IW41,KD,>,10000.0,NM
3702,CHEMBL553,Q8IW41,KD,>,10000.0,NM
3704,CHEMBL553,Q8IVW4,KD,>,10000.0,NM
3705,CHEMBL553,Q8IVH8,KD,>,10000.0,NM
3706,CHEMBL553,Q8IVH8,KD,>,10000.0,NM
3708,CHEMBL553,Q8IU85,KD,>,10000.0,NM
3711,CHEMBL553,Q8IU85,KD,>,10000.0,NM
3713,CHEMBL553,Q8IU85,KD,>,10000.0,NM
3715,CHEMBL553,Q86Z02,KD,>,10000.0,NM
3717,CHEMBL553,Q86YV6,KD,>,10000.0,NM
3718,CHEMBL553,Q86YV6,KD,>,10000.0,NM
3719,CHEMBL553,Q86Y07,KD,>,10000.0,NM
3721,CHEMBL553,Q86V86,KD,>,10000.0,NM
3725,CHEMBL553,Q86V86,KD,>,10000.0,NM
3727,CHEMBL553,Q86UX6,KD,>,10000.0,NM
3728,CHEMBL553,Q86UX6,KD,>,10000.0,NM
3729,CHEMBL553,Q86UE8,KD,>,10000.0,NM
3730,CHEMBL553,Q86UE8,KD,>,10000.0,NM
3732,CHEMBL553,Q7L7X3,KD,>,10000.0,NM
3736,CHEMBL553,Q7KZI7,KD,>,10000.0,NM
3739,CHEMBL553,Q7KZI7,KD,>,10000.0,NM
3740,CHEMBL553,Q7KZI7,KD,>,10000.0,NM
3742,CHEMBL553,Q6ZN16,KD,>,10000.0,NM
3743,CHEMBL553,Q6XUX3,KD,>,10000.0,NM
3745,CHEMBL553,Q6PHR2,KD,=,920.0,NM
3747,CHEMBL553,Q6P3R8,KD,>,10000.0,NM
3748,CHEMBL553,Q6P3R8,KD,>,10000.0,NM
3749,CHEMBL553,Q6DT37,KD,=,3400.0,NM
3750,CHEMBL553,Q6DT37,KD,=,3400.0,NM
3751,CHEMBL553,Q5VT25,KD,>,10000.0,NM
3754,CHEMBL553,Q5VT25,KD,>,10000.0,NM
3756,CHEMBL553,Q5S007,KD,=,4800.0,NM
3757,CHEMBL553,Q5S007,KD,=,2900.0,NM
3761,CHEMBL553,Q59H18,KD,=,570.0,NM
3762,CHEMBL553,Q59H18,KD,=,570.0,NM
3763,CHEMBL553,Q56UN5,KD,=,25.0,NM
3764,CHEMBL553,Q52WX2,KD,=,1200.0,NM
3765,CHEMBL553,Q3U3Q1,KD,=,630.0,NM
3766,CHEMBL553,Q32MK0,KD,>,10000.0,NM
3767,CHEMBL553,Q2M2I8,KD,=,1200.0,NM
3768,CHEMBL553,Q2M2I8,KD,=,4400.0,NM
3769,CHEMBL553,Q2M2I8,KD,=,1200.0,NM
3770,CHEMBL553,Q16832,KD,>,10000.0,NM
3772,CHEMBL553,Q16832,KD,>,10000.0,NM
3773,CHEMBL553,Q16816,KD,>,10000.0,NM
3775,CHEMBL553,Q16816,KD,>,10000.0,NM
3776,CHEMBL553,Q16816,KD,>,10000.0,NM
3777,CHEMBL553,Q16659,KD,>,10000.0,NM
3779,CHEMBL553,Q16659,KD,>,10000.0,NM
3783,CHEMBL553,Q16620,KD,>,10000.0,NM
3786,CHEMBL553,Q16620,KD,>,10000.0,NM
3788,CHEMBL553,Q16584,KD,>,10000.0,NM
3790,CHEMBL553,Q16584,KD,>,10000.0,NM
3791,CHEMBL553,Q16566,KD,>,10000.0,NM
3794,CHEMBL553,Q16566,KD,>,10000.0,NM
3795,CHEMBL553,Q16539,KD,>,10000.0,NM
3798,CHEMBL553,Q16539,KD,>,10000.0,NM
3799,CHEMBL553,Q16539,KD,>,10000.0,NM
3802,CHEMBL553,Q16513,KD,>,10000.0,NM
3805,CHEMBL553,Q16513,KD,>,10000.0,NM
3807,CHEMBL553,Q16512,KD,>,10000.0,NM
3809,CHEMBL553,Q16512,KD,>,10000.0,NM
3810,CHEMBL553,Q16288,KD,>,10000.0,NM
3813,CHEMBL553,Q16288,KD,>,10000.0,NM
3816,CHEMBL553,Q15835,KD,>,10000.0,NM
3817,CHEMBL553,Q15831,KD,>,10000.0,NM
3819,CHEMBL553,Q15831,KD,>,10000.0,NM
3820,CHEMBL553,Q15759,KD,>,10000.0,NM
3822,CHEMBL553,Q15759,KD,>,10000.0,NM
3824,CHEMBL553,Q15759,KD,>,10000.0,NM
3825,CHEMBL553,Q15746,KD,>,10000.0,NM
3827,CHEMBL553,Q15746,KD,>,10000.0,NM
3828,CHEMBL553,Q15569,KD,>,10000.0,NM
3829,CHEMBL553,Q15569,KD,>,10000.0,NM
3831,CHEMBL553,Q15418,KD,>,10000.0,NM
3832,CHEMBL553,Q15418,KD,>,10000.0,NM
3833,CHEMBL553,Q15418,KD,>,10000.0,NM
3834,CHEMBL553,Q15418,KD,>,10000.0,NM
3835,CHEMBL553,Q15375,KD,=,1400.0,NM
3837,CHEMBL553,Q15375,KD,>,10000.0,NM
3838,CHEMBL553,Q15375,KD,=,1400.0,NM
3840,CHEMBL553,Q15349,KD,>,10000.0,NM
3841,CHEMBL553,Q15349,KD,>,10000.0,NM
3842,CHEMBL553,Q15349,KD,>,10000.0,NM
3843,CHEMBL553,Q15349,KD,>,10000.0,NM
3844,CHEMBL553,Q15349,KD,>,10000.0,NM
3860,CHEMBL553,Q15303,KD,=,230.0,NM
3866,CHEMBL553,Q15208,KD,>,10000.0,NM
3869,CHEMBL553,Q15139,KD,>,10000.0,NM
3871,CHEMBL553,Q15139,KD,>,10000.0,NM
3872,CHEMBL553,Q14680,KD,>,10000.0,NM
3875,CHEMBL553,Q14680,KD,>,10000.0,NM
3877,CHEMBL553,Q14289,KD,>,10000.0,NM
3880,CHEMBL553,Q14289,KD,>,10000.0,NM
3882,CHEMBL553,Q14164,KD,>,10000.0,NM
3885,CHEMBL553,Q14164,KD,>,10000.0,NM
3887,CHEMBL553,Q14012,KD,>,10000.0,NM
3889,CHEMBL553,Q14012,KD,>,10000.0,NM
3890,CHEMBL553,Q14012,KD,>,10000.0,NM
3892,CHEMBL553,Q14004,KD,>,10000.0,NM
3893,CHEMBL553,Q13976,KD,>,10000.0,NM
3895,CHEMBL553,Q13976,KD,>,10000.0,NM
3897,CHEMBL553,Q13882,KD,>,10000.0,NM
3900,CHEMBL553,Q13882,KD,>,10000.0,NM
3901,CHEMBL553,Q13882,KD,>,10000.0,NM
3903,CHEMBL553,Q13873,KD,>,10000.0,NM
3904,CHEMBL553,Q13873,KD,>,10000.0,NM
3905,CHEMBL553,Q13705,KD,>,10000.0,NM
3906,CHEMBL553,Q13705,KD,>,10000.0,NM
3907,CHEMBL553,Q13627,KD,>,10000.0,NM
3912,CHEMBL553,Q13557,KD,=,6400.0,NM
3915,CHEMBL553,Q13557,KD,>,10000.0,NM
3917,CHEMBL553,Q13557,KD,>,10000.0,NM
3919,CHEMBL553,Q13555,KD,>,10000.0,NM
3922,CHEMBL553,Q13555,KD,>,10000.0,NM
3924,CHEMBL553,Q13555,KD,>,10000.0,NM
3926,CHEMBL553,Q13554,KD,>,10000.0,NM
3929,CHEMBL553,Q13554,KD,>,10000.0,NM
3931,CHEMBL553,Q13554,KD,>,10000.0,NM
3934,CHEMBL553,Q13546,KD,>,10000.0,NM
3935,CHEMBL553,Q13546,KD,>,10000.0,NM
3936,CHEMBL553,Q13523,KD,>,10000.0,NM
3937,CHEMBL553,Q13470,KD,=,630.0,NM
3938,CHEMBL553,Q13470,KD,=,630.0,NM
3939,CHEMBL553,Q13464,KD,>,10000.0,NM
3943,CHEMBL553,Q13237,KD,>,10000.0,NM
3945,CHEMBL553,Q13237,KD,>,10000.0,NM
3947,CHEMBL553,Q13233,KD,>,10000.0,NM
3949,CHEMBL553,Q13188,KD,>,10000.0,NM
3951,CHEMBL553,Q13188,KD,>,10000.0,NM
3953,CHEMBL553,Q13177,KD,>,10000.0,NM
3955,CHEMBL553,Q13177,KD,>,10000.0,NM
3956,CHEMBL553,Q13164,KD,>,10000.0,NM
3957,CHEMBL553,Q13164,KD,>,10000.0,NM
3958,CHEMBL553,Q13163,KD,=,96.0,NM
3960,CHEMBL553,Q13153,KD,>,10000.0,NM
3963,CHEMBL553,Q13153,KD,>,10000.0,NM
3964,CHEMBL553,Q13153,KD,>,10000.0,NM
3966,CHEMBL553,Q13131,KD,>,10000.0,NM
3968,CHEMBL553,Q13131,KD,>,10000.0,NM
3969,CHEMBL553,Q13131,KD,>,10000.0,NM
3971,CHEMBL553,Q13043,KD,>,10000.0,NM
3973,CHEMBL553,Q13043,KD,>,10000.0,NM
3975,CHEMBL553,Q13043,KD,>,10000.0,NM
3976,CHEMBL553,Q12866,KD,=,980.0,NM
3977,CHEMBL553,Q12866,KD,>,10000.0,NM
3978,CHEMBL553,Q12852,KD,>,10000.0,NM
3979,CHEMBL553,Q12851,KD,>,10000.0,NM
3983,CHEMBL553,Q09013,KD,=,2900.0,NM
3986,CHEMBL553,Q09013,KD,=,2900.0,NM
3987,CHEMBL553,Q08881,KD,>,10000.0,NM
3990,CHEMBL553,Q08881,KD,>,10000.0,NM
3992,CHEMBL553,Q08345,KD,=,790.0,NM
3993,CHEMBL553,Q08345,KD,=,790.0,NM
3994,CHEMBL553,Q07912,KD,>,10000.0,NM
3997,CHEMBL553,Q07912,KD,>,10000.0,NM
3998,CHEMBL553,Q07912,KD,>,10000.0,NM
4000,CHEMBL553,Q07002,KD,>,10000.0,NM
4001,CHEMBL553,Q07002,KD,>,10000.0,NM
4002,CHEMBL553,Q06418,KD,=,3900.0,NM
4005,CHEMBL553,Q06418,KD,=,3900.0,NM
4007,CHEMBL553,Q06187,KD,>,10000.0,NM
4010,CHEMBL553,Q06187,KD,>,10000.0,NM
4011,CHEMBL553,Q06187,KD,>,10000.0,NM
4013,CHEMBL553,Q05655,KD,>,10000.0,NM
4015,CHEMBL553,Q05655,KD,>,10000.0,NM
4019,CHEMBL553,Q05397,KD,>,10000.0,NM
4022,CHEMBL553,Q05397,KD,>,10000.0,NM
4023,CHEMBL553,Q05397,KD,>,10000.0,NM
4026,CHEMBL553,Q04912,KD,>,10000.0,NM
4030,CHEMBL553,Q04771,KD,>,10000.0,NM
4033,CHEMBL553,Q04771,KD,>,10000.0,NM
4035,CHEMBL553,Q04759,KD,>,10000.0,NM
4037,CHEMBL553,Q04759,KD,>,10000.0,NM
4040,CHEMBL553,Q02779,KD,>,10000.0,NM
4042,CHEMBL553,Q02779,KD,>,10000.0,NM
4043,CHEMBL553,Q02763,KD,>,10000.0,NM
4045,CHEMBL553,Q02763,KD,>,10000.0,NM
4046,CHEMBL553,Q02763,KD,>,10000.0,NM
4048,CHEMBL553,Q02750,KD,>,10000.0,NM
4051,CHEMBL553,Q02750,KD,>,10000.0,NM
4054,CHEMBL553,Q02156,KD,>,10000.0,NM
4055,CHEMBL553,Q02156,KD,>,10000.0,NM
4061,CHEMBL553,Q00537,KD,>,10000.0,NM
4062,CHEMBL553,Q00537,KD,>,10000.0,NM
4063,CHEMBL553,Q00536,KD,>,10000.0,NM
4064,CHEMBL553,Q00536,KD,>,10000.0,NM
4066,CHEMBL553,Q00536,KD,>,10000.0,NM
4067,CHEMBL553,Q00535,KD,>,10000.0,NM
4071,CHEMBL553,Q00535,KD,>,10000.0,NM
4072,CHEMBL553,Q00535,KD,>,10000.0,NM
4077,CHEMBL553,Q00532,KD,>,10000.0,NM
4079,CHEMBL553,Q00526,KD,>,10000.0,NM
4081,CHEMBL553,Q00526,KD,>,10000.0,NM
4082,CHEMBL553,P9WI81,KD,>,10000.0,NM
4083,CHEMBL553,P80192,KD,>,10000.0,NM
4085,CHEMBL553,P80192,KD,>,10000.0,NM
4086,CHEMBL553,P78368,KD,>,10000.0,NM
4089,CHEMBL553,P78368,KD,>,10000.0,NM
4091,CHEMBL553,P78368,KD,>,10000.0,NM
4093,CHEMBL553,P78362,KD,>,10000.0,NM
4095,CHEMBL553,P78362,KD,>,10000.0,NM
4096,CHEMBL553,P78356,KD,>,10000.0,NM
4097,CHEMBL553,P78356,KD,>,10000.0,NM
4098,CHEMBL553,P68400,KD,>,10000.0,NM
4100,CHEMBL553,P68400,KD,>,10000.0,NM
4102,CHEMBL553,P68370,KD,=,230.0,NM
4104,CHEMBL553,P62344,KD,>,10000.0,NM
4105,CHEMBL553,P61075,KD,>,10000.0,NM
4106,CHEMBL553,P57078,KD,=,4900.0,NM
4107,CHEMBL553,P57059,KD,>,10000.0,NM
4108,CHEMBL553,P57059,KD,>,10000.0,NM
4109,CHEMBL553,P57058,KD,>,10000.0,NM
4110,CHEMBL553,P54764,KD,>,10000.0,NM
4112,CHEMBL553,P54764,KD,>,10000.0,NM
4113,CHEMBL553,P54764,KD,>,10000.0,NM
4114,CHEMBL553,P54762,KD,=,1100.0,NM
4116,CHEMBL553,P54762,KD,>,10000.0,NM
4117,CHEMBL553,P54762,KD,>,10000.0,NM
4118,CHEMBL553,P54760,KD,=,2200.0,NM
4120,CHEMBL553,P54760,KD,>,10000.0,NM
4121,CHEMBL553,P54760,KD,>,10000.0,NM
4122,CHEMBL553,P54756,KD,=,710.0,NM
4124,CHEMBL553,P54756,KD,>,10000.0,NM
4125,CHEMBL553,P54756,KD,>,10000.0,NM
4126,CHEMBL553,P54753,KD,>,10000.0,NM
4128,CHEMBL553,P54753,KD,>,10000.0,NM
